text,intent
"halo",sapaan
"hai",sapaan
"selamat pagi",sapaan
"selamat siang",sapaan
"selamat sore",sapaan
"pagi min",sapaan
"hai min",sapaan
"woi",sapaan
"assalamualaikum",sapaan
"permisi",sapaan
"apa kabar",sapaan
"hi",sapaan
"gimana cara nabung buat mahasiswa?",tanya_tabungan
"cara mulai menabung gimana ya?",tanya_tabungan
"bagaimana cara menabung dengan uang saku pas-pasan?",tanya_tabungan
"kasih tau cara nyimpen duit dong",tanya_tabungan
"saya mau mulai nabung tapi bingung",tanya_tabungan
"gmn caranya biar bisa punya tabungan?",tanya_tabungan
"langkah awal menabung apa ya?",tanya_tabungan
"ada tips buat nabung ga?",tanya_tabungan
"pengen nabung tapi uangnya dikit",tanya_tabungan
"nabung yg efektif gmn?",tanya_tabungan
"aku mau nabung buat beli laptop",tanya_tabungan
"cara menabung 1 juta pertama",tanya_tabungan
"susah banget nabung, ada saran?",tanya_tabungan
"nabung harian atau bulanan ya bagusnya?",tanya_tabungan
"gimana cara konsisten nabung?",tanya_tabungan
"kasih tips hemat dong",tips_hemat
"tips hemat buat anak kos",tips_hemat
"biar ga boros gimana caranya?",tips_hemat
"cara menekan pengeluaran gimana?",tips_hemat
"gimana cara hidup hemat di akhir bulan?",tips_hemat
"tips irit buat mahasiswa dong",tips_hemat
"cara menghemat uang jajan",tips_hemat
"tolong kasih saran biar hemat",tips_hemat
"bagaimana cara mengelola uang agar tidak boros?",tips_hemat
"tips and trick hemat",tips_hemat
"makan hemat tapi tetap sehat gimana?",tips_hemat
"cara hemat ongkos ke kampus",tips_hemat
"lagi bokek nih, cara bertahan hidup gimana?",tips_hemat
"belanja bulanan hemat gimana ya?",tips_hemat
"nongkrong hemat sama teman gimana?",tips_hemat
"pengeluaran terbesarku apa ya?",info_pengeluaran
"cek pengeluaranku dong",info_pengeluaran
"bulan ini aku paling banyak jajan apa?",info_pengeluaran
"lihat ringkasan keuanganku",info_pengeluaran
"mana pengeluaran yang paling besar?",info_pengeluaran
"total pengeluaran aku berapa?",info_pengeluaran
"rekap pengeluaranku dong",info_pengeluaran
"uangku habis kemana aja ya?",info_pengeluaran
"bantu analisis pengeluaranku",info_pengeluaran
"laporan keuanganku gimana?",info_pengeluaran
"apa saja fitur di aplikasi ini?",tanya_fitur
"aplikasi ini bisa ngapain aja?",tanya_fitur
"jelaskan fitur-fiturnya",tanya_fitur
"apa gunanya aplikasi ini?",tanya_fitur
"bisa bantu apa aja?",tanya_fitur
